PingNumber,LatencyMs
1,54.0
2,66.1
3,29.6
4,65.1
5,70.7
6,96.6
7,75.3
8,93.8
9,46.8
10,65.6
11,47.5
12,68.0
13,24.2
14,41.0
15,3.1
16,6.22
Average,53.35125
