PingNumber,LatencyMs
1,52.3
2,54.2
3,80.8
4,22.2
5,58.4
6,90.5
7,28.3
8,15.6
9,55.3
10,6.72
11,12.1
12,55.8
13,56.5
14,87.0
15,57.9
16,78.0
17,99.9
Average,53.61882352941176
